[299.7859,799.1406,39.5476]
[339.3335,339.1095]
[338.4399,337.3323]
[335.7993,333.8583]
[331.5312,328.8445]
[325.8284,322.5174]
[318.9487,315.1630]
[311.2030,307.1136]
[302.9412,298.7331]
[294.5369,290.4002]
[286.3698,282.4914]
[278.8090,275.3643]
[272.1962,269.3408]
[266.8303,264.6932]
[262.9538,261.6316]
[260.7418,260.2943]
[260.2943,260.7418]
[261.6316,262.9538]
[264.6932,266.8303]
[269.3408,272.1962]
[275.3643,278.8090]
[282.4914,286.3698]
[290.4002,294.5369]
[298.7331,302.9412]
[307.1136,311.2030]
[315.1630,318.9487]
[322.5174,325.8284]
[328.8445,331.5312]
[333.8583,335.7993]
[337.3323,338.4399]
[339.1095,339.3335]
[799.1406,803.3442]
[807.5002,811.5615]
[815.4821,819.2175]
[822.7255,825.9662]
[828.9029,831.5025]
[833.7353,835.5762]
[837.0043,838.0034]
[838.5621,838.6741]
[838.3383,837.5583]
[836.3430,834.7062]
[832.6664,830.2468]
[827.4747,824.3816]
[821.0025,817.3757]
[813.5422,809.5456]
[805.4311,801.2454]
[797.0357,792.8500]
[788.7355,784.7389]
[780.9054,777.2786]
[773.8995,770.8064]
[768.0343,765.6147]
[763.5749,761.9381]
[760.7228,759.9428]
[759.6070,759.7190]
[760.2777,761.2768]
[762.7049,764.5458]
[766.7786,769.3782]
[772.3149,775.5556]
[779.0636,782.7990]
[786.7196,790.7809]
[794.9369,799.1406]
[499.7304,359.5562,32.7234]
[532.4538,532.2684]
[531.7143,530.7979]
[529.5294,527.9234]
[525.9978,523.7747]
[521.2791,518.5394]
[515.5865,512.4540]
[509.1774,505.7937]
[502.3413,498.8593]
[495.3872,491.9643]
[488.6294,485.4202]
[482.3732,479.5229]
[476.9016,474.5388]
[472.4616,470.6933]
[469.2540,468.1600]
[467.4237,467.0534]
[467.0534,467.4237]
[468.1600,469.2540]
[470.6933,472.4616]
[474.5388,476.9016]
[479.5229,482.3732]
[485.4202,488.6294]
[491.9643,495.3872]
[498.8593,502.3413]
[505.7937,509.1774]
[512.4540,515.5865]
[518.5394,521.2791]
[523.7747,525.9978]
[527.9234,529.5294]
[530.7979,531.7143]
[532.2684,532.4538]
[359.5562,363.0345]
[366.4733,369.8338]
[373.0779,376.1687]
[379.0713,381.7528]
[384.1828,386.3338]
[388.1814,389.7046]
[390.8863,391.7129]
[392.1752,392.2680]
[391.9900,391.3446]
[390.3391,388.9847]
[387.2969,385.2948]
[383.0011,380.4417]
[377.6457,374.6447]
[371.4728,368.1658]
[364.7613,361.2978]
[357.8146,354.3511]
[350.9466,347.6396]
[344.4677,341.4667]
[338.6707,336.1113]
[333.8176,331.8155]
[330.1277,328.7733]
[327.7677,327.1223]
