[862.7882,214.8945,26.9458]
[889.7341,889.5814]
[889.1252,888.3705]
[887.3260,886.0035]
[884.4180,882.5873]
[880.5324,878.2764]
[875.8449,873.2654]
[870.5673,867.7810]
[864.9381,862.0709]
[859.2118,856.3933]
[853.6471,851.0046]
[848.4956,846.1485]
[843.9899,842.0444]
[840.3339,838.8778]
[837.6926,836.7917]
[836.1854,835.8806]
[835.8806,836.1854]
[836.7917,837.6926]
[838.8778,840.3339]
[842.0444,843.9899]
[846.1485,848.4956]
[851.0046,853.6471]
[856.3933,859.2118]
[862.0709,864.9381]
[867.7810,870.5673]
[873.2654,875.8449]
[878.2764,880.5324]
[882.5873,884.4180]
[886.0035,887.3260]
[888.3705,889.1252]
[889.5814,889.7341]
[214.8945,217.7587]
[220.5904,223.3576]
[226.0289,228.5740]
[230.9641,233.1722]
[235.1732,236.9444]
[238.4657,239.7200]
[240.6930,241.3738]
[241.7544,241.8308]
[241.6020,241.0705]
[240.2425,239.1272]
[237.7374,236.0888]
[234.2000,232.0925]
[229.7902,227.3190]
[224.7071,221.9840]
[219.1806,216.3286]
[213.4604,210.6084]
[207.8050,205.0819]
[202.4700,199.9988]
[197.6965,195.5890]
[193.7002,192.0516]
[190.6618,189.5465]
[188.7185,188.1871]
[187.9582,188.0346]
[188.4152,189.0960]
[190.0690,191.3233]
[192.8446,194.6158]
[196.6168,198.8249]
[201.2150,203.7602]
[206.4314,209.1986]
[212.0303,214.8945]
[372.8750,231.0155,17.5746]
[390.4496,390.3500]
[390.0525,389.5603]
[388.8790,388.0165]
[386.9823,385.7883]
[384.4481,382.9766]
[381.3908,379.7084]
[377.9486,376.1313]
[374.2772,372.4071]
[370.5424,368.7040]
[366.9130,365.1895]
[363.5530,362.0222]
[360.6144,359.3454]
[358.2298,357.2801]
[356.5071,355.9195]
[355.5241,355.3253]
[355.3253,355.5241]
[355.9195,356.5071]
[357.2801,358.2298]
[359.3454,360.6144]
[362.0222,363.5530]
[365.1895,366.9130]
[368.7040,370.5424]
[372.4071,374.2772]
[376.1313,377.9486]
[379.7084,381.3908]
[382.9766,384.4481]
[385.7883,386.9823]
[388.0165,388.8790]
[389.5603,390.0525]
[390.3500,390.4496]
[231.0155,232.8836]
[234.7305,236.5353]
[238.2776,239.9375]
[241.4964,242.9366]
[244.2416,245.3969]
[246.3891,247.2072]
[247.8418,248.2858]
[248.5341,248.5839]
[248.4346,248.0880]
[247.5480,246.8206]
[245.9141,244.8388]
[243.6070,242.2324]
[240.7308,239.1190]
[237.4155,235.6394]
[233.8110,231.9509]
[230.0801,228.2200]
[226.3916,224.6155]
[222.9120,221.3003]
[219.7986,218.4240]
[217.1922,216.1169]
[215.2104,214.4831]
[213.9430,213.5964]
[213.4471,213.4969]
[213.7452,214.1892]
[214.8238,215.6419]
[216.6341,217.7894]
[219.0944,220.5346]
[222.0935,223.7535]
[225.4957,227.3005]
[229.1474,231.0155]
[873.9479,818.7920,26.1659]
[900.1138,899.9656]
[899.5226,898.7898]
[897.7755,896.4913]
[894.9516,893.1740]
[891.1785,888.9878]
[886.6266,884.1219]
[881.5018,878.7962]
[876.0356,873.2514]
[870.4750,867.7380]
[865.0714,862.5054]
[860.0690,857.7898]
[855.6937,853.8045]
[852.1435,850.7295]
[849.5786,848.7039]
[848.1151,847.8191]
[847.8191,848.1151]
[848.7039,849.5786]
[850.7295,852.1435]
[853.8045,855.6937]
[857.7898,860.0690]
[862.5054,865.0714]
[867.7380,870.4750]
[873.2514,876.0356]
[878.7962,881.5018]
[884.1219,886.6266]
[888.9878,891.1785]
[893.1740,894.9516]
[896.4913,897.7755]
[898.7898,899.5226]
[899.9656,900.1138]
[818.7920,821.5733]
[824.3230,827.0101]
[829.6041,832.0756]
[834.3965,836.5407]
[838.4837,840.2037]
[841.6810,842.8990]
[843.8439,844.5049]
[844.8745,844.9487]
[844.7264,844.2104]
[843.4063,842.3234]
[840.9738,839.3729]
[837.5388,835.4923]
[833.2565,830.8569]
[828.3206,825.6763]
[822.9541,820.1846]
[817.3994,814.6300]
[811.9077,809.2634]
[806.7271,804.3275]
[802.0918,800.0453]
[798.2112,796.6103]
[795.2607,794.1777]
[793.3737,792.8576]
[792.6354,792.7095]
[793.0792,793.7402]
[794.6851,795.9031]
[797.3804,799.1003]
[801.0434,803.1875]
[805.5085,807.9800]
[810.5739,813.2610]
[816.0108,818.7920]
[400.5484,839.6379,41.2665]
[441.8149,441.5811]
[440.8824,439.7267]
[438.1271,436.1017]
[433.6735,430.8699]
[427.7228,424.2678]
[420.5441,416.5938]
[412.4617,408.1946]
[403.8409,399.4498]
[395.0713,390.7547]
[386.5492,382.5022]
[378.6598,375.0653]
[371.7596,368.7800]
[366.1604,363.9305]
[362.1154,360.7358]
[359.8073,359.3404]
[359.3404,359.8073]
[360.7358,362.1154]
[363.9305,366.1604]
[368.7800,371.7596]
[375.0653,378.6598]
[382.5022,386.5492]
[390.7547,395.0713]
[399.4498,403.8409]
[408.1946,412.4617]
[416.5938,420.5441]
[424.2678,427.7228]
[430.8699,433.6735]
[436.1017,438.1271]
[439.7267,440.8824]
[441.5811,441.8149]
[839.6379,844.0243]
[848.3609,852.5988]
[856.6897,860.5875]
[864.2479,867.6295]
[870.6939,873.4064]
[875.7363,877.6572]
[879.1474,880.1898]
[880.7728,880.8898]
[880.5393,879.7254]
[878.4573,876.7494]
[874.6209,872.0961]
[869.2036,865.9760]
[862.4500,858.6656]
[854.6655,850.4952]
[846.2019,841.8342]
[837.4416,833.0739]
[828.7806,824.6103]
[820.6102,816.8258]
[813.2998,810.0723]
[807.1797,804.6549]
