[348.7698,793.9138,42.4958]
[391.2655,391.0248]
[390.3053,389.1152]
[387.4679,385.3822]
[382.8816,379.9946]
[376.7537,373.1958]
[369.3611,365.2932]
[361.0380,356.6438]
[352.1604,347.6385]
[343.1295,338.6844]
[334.3536,330.1861]
[326.2292,322.5276]
[319.1234,316.0551]
[313.3575,311.0611]
[309.1920,307.7712]
[306.8151,306.3343]
[306.3343,306.8151]
[307.7712,309.1920]
[311.0611,313.3575]
[316.0551,319.1234]
[322.5276,326.2292]
[330.1861,334.3536]
[338.6844,343.1295]
[347.6385,352.1604]
[356.6438,361.0380]
[365.2932,369.3611]
[373.1958,376.7537]
[379.9946,382.8816]
[385.3822,387.4679]
[389.1152,390.3053]
[391.0248,391.2655]
[793.9138,798.4309]
[802.8967,807.2608]
[811.4736,815.4875]
[819.2569,822.7392]
[825.8949,828.6882]
[831.0876,833.0657]
[834.6002,835.6737]
[836.2741,836.3945]
[836.0336,835.1955]
[833.8896,832.1308]
[829.9390,827.3389]
[824.3602,821.0365]
[817.4055,813.5083]
[809.3891,805.0946]
[800.6734,796.1756]
[791.6521,787.1543]
[782.7331,778.4386]
[774.3194,770.4222]
[766.7912,763.4675]
[760.4887,757.8887]
[755.6969,753.9381]
[752.6322,751.7941]
[751.4331,751.5536]
[752.1539,753.2275]
[754.7620,756.7401]
[759.1394,761.9328]
[765.0885,768.5708]
[772.3402,776.3541]
[780.5669,784.9310]
[789.3968,793.9138]
[583.9329,494.3645,26.6725]
[610.6054,610.4543]
[610.0027,609.2557]
[608.2218,606.9127]
[605.3433,603.5312]
[601.4971,599.2639]
[596.8571,594.3038]
[591.6331,588.8750]
[586.0610,583.2229]
[580.3928,577.6028]
[574.8845,572.2688]
[569.7852,567.4620]
[565.3253,563.3995]
[561.7063,560.2650]
[559.0918,558.2001]
[557.6000,557.2982]
[557.2982,557.6000]
[558.2001,559.0918]
[560.2650,561.7063]
[563.3995,565.3253]
[567.4620,569.7852]
[572.2688,574.8845]
[577.6028,580.3928]
[583.2229,586.0610]
[588.8750,591.6331]
[594.3038,596.8571]
[599.2639,601.4971]
[603.5312,605.3433]
[606.9127,608.2218]
[609.2557,610.0027]
[610.4543,610.6054]
[494.3645,497.1996]
[500.0026,502.7417]
[505.3859,507.9052]
[510.2711,512.4568]
[514.4375,516.1907]
[517.6967,518.9382]
[519.9014,520.5752]
[520.9520,521.0276]
[520.8011,520.2750]
[519.4554,518.3514]
[516.9757,515.3438]
[513.4742,511.3881]
[509.1091,506.6630]
[504.0776,501.3821]
[498.6071,495.7841]
[492.9449,490.1219]
[487.3469,484.6514]
[482.0660,479.6199]
[477.3409,475.2548]
[473.3852,471.7533]
[470.3776,469.2737]
[468.4540,467.9280]
[467.7014,467.7770]
[468.1538,468.8276]
[469.7908,471.0324]
[472.5383,474.2915]
[476.2722,478.4579]
[480.8238,483.3431]
[485.9873,488.7264]
[491.5294,494.3645]
[878.5600,228.5666,24.2845]
[902.8445,902.7069]
[902.2957,901.6156]
[900.6743,899.4824]
[898.0534,896.4036]
[894.5516,892.5184]
[890.3271,888.0024]
[885.5707,883.0596]
[880.4976,877.9135]
[875.3368,872.7966]
[870.3218,867.9402]
[865.6790,863.5637]
[861.6184,859.8650]
[858.3234,857.0111]
[855.9430,855.1311]
[854.5847,854.3100]
[854.3100,854.5847]
[855.1311,855.9430]
[857.0111,858.3234]
[859.8650,861.6184]
[863.5637,865.6790]
[867.9402,870.3218]
[872.7966,875.3368]
[877.9135,880.4976]
[883.0596,885.5707]
[888.0024,890.3271]
[892.5184,894.5516]
[896.4036,898.0534]
[899.4824,900.6743]
[901.6156,902.2957]
[902.7069,902.8445]
[228.5666,231.1479]
[233.6999,236.1938]
[238.6013,240.8950]
[243.0491,245.0391]
[246.8424,248.4387]
[249.8098,250.9402]
[251.8171,252.4306]
[252.7737,252.8425]
[252.6362,252.1573]
[251.4110,250.4059]
[249.1534,247.6676]
[245.9654,244.0660]
[241.9911,239.7640]
[237.4101,234.9559]
[232.4294,229.8591]
[227.2741,224.7038]
[222.1773,219.7232]
[217.3692,215.1422]
[213.0672,211.1679]
[209.4656,207.9798]
[206.7273,205.7222]
[204.9760,204.4970]
[204.2908,204.3596]
[204.7027,205.3161]
[206.1931,207.3235]
[208.6946,210.2908]
[212.0942,214.0842]
[216.2382,218.5320]
[220.9394,223.4333]
[225.9853,228.5666]
