854.0190,378.6658,35.0112
889.0303,888.8319
888.2391,887.2586
885.9015,884.1831
882.1229,879.7444
877.0743,874.1430
870.9837,867.6322
864.1265,860.5062
856.8124,853.0870
849.3721,845.7099
842.1418,838.7083
835.4483,832.3987
829.5941,827.0662
824.8437,822.9517
821.4118,820.2413
819.4535,819.0574
819.0574,819.4535
820.2413,821.4118
822.9517,824.8437
827.0662,829.5941
832.3987,835.4483
838.7083,842.1418
845.7099,849.3721
853.0870,856.8124
860.5062,864.1265
867.6322,870.9837
874.1430,877.0743
879.7444,882.1229
884.1831,885.9015
887.2586,888.2391
888.8319,889.0303
378.6658,382.3873
386.0666,389.6621
393.1329,396.4398
399.5454,402.4144
405.0143,407.3156
409.2924,410.9221
412.1864,413.0708
413.5655,413.6647
413.3673,412.6768
411.6009,410.1519
408.3461,406.2040
403.7499,401.0116
398.0201,394.8093
391.4156,387.8774
384.2348,380.5292
376.8025,373.0968
369.4543,365.9161
362.5224,359.3116
356.3201,353.5818
351.1277,348.9856
347.1798,345.7307
344.6549,343.9643
343.6670,343.7662
344.2608,345.1453
346.4096,348.0393
350.0160,352.3174
354.9173,357.7863
360.8918,364.1988
367.6696,371.2651
374.9444,378.6658
656.1753,568.0442,28.9291
685.1044,684.9405
684.4507,683.6405
682.5191,681.0992
679.3970,677.4316
675.2254,672.8033
670.1929,667.4236
664.5269,661.5355
658.4834,655.4051
652.3356,649.3096
646.3614,643.5243
640.8306,638.3108
635.9934,633.9046
632.0682,630.5050
629.2325,628.2654
627.6145,627.2871
627.2871,627.6145
628.2654,629.2325
630.5050,632.0682
633.9046,635.9934
638.3108,640.8306
643.5243,646.3614
649.3096,652.3356
655.4051,658.4834
661.5355,664.5269
667.4236,670.1929
672.8033,675.2254
677.4316,679.3970
681.0992,682.5191
683.6405,684.4507
684.9405,685.1044
568.0442,571.1192
574.1593,577.1302
579.9981,582.7305
585.2966,587.6672
589.8154,591.7170
593.3503,594.6969
595.7416,596.4724
596.8811,596.9631
