[350.6832,350.4240]
[350.4240,350.6832]
[351.1986,351.9643]
[352.9718,354.2096]
[355.6636,357.3175]
[359.1524,361.1476]
[363.2804,365.5267]
[367.8611,370.2570]
[372.6875,375.1248]
[377.5414,379.9099]
[382.2035,384.3962]
[386.4631,388.3809]
[390.1277,391.6839]
[393.0317,394.1559]
[395.0438,395.6853]
[396.0731,396.2029]
[591.7083,594.1430]
[596.5502,598.9024]
[601.1732,603.3367]
[605.3685,607.2455]
[608.9464,610.4521]
[611.7453,612.8116]
[613.6387,614.2173]
[614.5410,614.6059]
[614.4113,613.9596]
[613.2557,612.3077]
[611.1262,609.7248]
[608.1192,606.3277]
[604.3706,602.2699]
[600.0496,597.7348]
[595.3518,592.9274]
[590.4892,588.0648]
[585.6818,583.3670]
[581.1467,579.0460]
[577.0889,575.2974]
[573.6918,572.2904]
[571.1090,570.1609]
[569.4570,569.0053]
[568.8107,568.8756]
[569.1993,569.7779]
[570.6050,571.6713]
[572.9645,574.4702]
[576.1711,578.0481]
[580.0799,582.2434]
[584.5142,586.8664]
[589.2736,591.7083]
[858.4893,614.2786,16.8655]
[875.3548,875.2593]
[874.9737,874.5014]
[873.8476,873.0198]
[872.0274,870.8816]
[869.5954,868.1834]
[866.6615,865.0470]
[863.3582,861.6143]
[859.8349,858.0403]
[856.2508,854.4866]
[852.7678,851.1138]
[849.5434,848.0744]
[846.7233,845.5056]
[844.4350,843.5236]
[842.7818,842.2179]
[841.8384,841.6476]
[841.6476,841.8384]
[842.2179,842.7818]
[843.5236,844.4350]
[845.5056,846.7233]
[848.0744,849.5434]
[851.1138,852.7678]
[854.4866,856.2508]
[858.0403,859.8349]
[861.6143,863.3582]
[865.0470,866.6615]
[868.1834,869.5954]
[870.8816,872.0274]
[873.0198,873.8476]
[874.5014,874.9737]
[875.2593,875.3548]
[614.2786,616.0713]
[617.8436,619.5756]
[621.2476,622.8406]
[624.3366,625.7187]
[626.9711,628.0797]
[629.0319,629.8170]
[630.4260,630.8521]
[631.0903,631.1381]
[630.9949,630.6623]
[630.1440,629.4460]
[628.5761,627.5442]
[626.3620,625.0429]
[623.6018,622.0551]
[620.4203,618.7159]
[616.9613,615.1762]
[613.3809,611.5959]
[609.8412,608.1368]
[606.5020,604.9553]
[603.5142,602.1951]
[601.0129,599.9811]
[599.1112,598.4131]
[597.8949,597.5622]
[597.4190,597.4668]
[597.7051,598.1311]
[598.7401,599.5252]
[600.4774,601.5860]
[602.8385,604.2205]
[605.7165,607.3095]
[608.9815,610.7135]
[612.4859,614.2786]
[549.0062,203.0384,17.7413]
[566.7474,566.6469]
[566.3466,565.8497]
[565.1620,564.2912]
[563.2473,562.0420]
[560.6890,559.2036]
[557.6027,555.9044]
[554.1279,552.2934]
[550.4217,548.5339]
[546.6515,544.7957]
[542.9876,541.2478]
[539.5958,538.0505]
[536.6293,535.3483]
[534.2221,533.2634]
[532.4831,531.8900]
[531.4908,531.2900]
[531.2900,531.4908]
[531.8900,532.4831]
[533.2634,534.2221]
[535.3483,536.6293]
[538.0505,539.5958]
[541.2478,542.9876]
[544.7957,546.6515]
[548.5339,550.4217]
[552.2934,554.1279]
[555.9044,557.6027]
[559.2036,560.6890]
[562.0420,563.2473]
[564.2912,565.1620]
[565.8497,566.3466]
[566.6469,566.7474]
[203.0384,204.9242]
[206.7886,208.6105]
[210.3693,212.0450]
[213.6187,215.0725]
[216.3899,217.5561]
[218.5578,219.3836]
[220.0243,220.4725]
[220.7231,220.7734]
[220.6227,220.2728]
[219.7276,218.9933]
[218.0783,216.9928]
[215.7492,214.3616]
[212.8458,211.2188]
[209.4991,207.7062]
[205.8604,203.9826]
