[455.0685,313.7878,17.8500]
[472.9185,472.8173]
[472.5151,472.0152]
[471.3233,470.4472]
[469.3969,468.1842]
[466.8229,465.3284]
[463.7177,462.0090]
[460.2216,458.3759]
[456.4927,454.5933]
[452.6993,450.8322]
[449.0131,447.2626]
[445.6005,444.0457]
[442.6158,441.3270]
[440.1939,439.2293]
[438.4442,437.8474]
[437.4458,437.2438]
[437.2438,437.4458]
[437.8474,438.4442]
[439.2293,440.1939]
[441.3270,442.6158]
[444.0457,445.6005]
[447.2626,449.0131]
[450.8322,452.6993]
[454.5933,456.4927]
[458.3759,460.2216]
[462.0090,463.7177]
[465.3284,466.8229]
[468.1842,469.3969]
[470.4472,471.3233]
[472.0152,472.5151]
[472.8173,472.9185]
[313.7878,315.6851]
[317.5610,319.3941]
[321.1636,322.8496]
[324.4329,325.8956]
[327.2212,328.3945]
[329.4023,330.2332]
[330.8778,331.3287]
[331.5809,331.6314]
[331.4798,331.1278]
[330.5793,329.8405]
[328.9198,327.8277]
[326.5765,325.1804]
[323.6553,322.0183]
[320.2881,318.4842]
[316.6271,314.7378]
[312.8378,310.9485]
[309.0914,307.2875]
[305.5573,303.9203]
[302.3952,300.9991]
[299.7479,298.6558]
[297.7351,296.9963]
[296.4478,296.0958]
[295.9442,295.9947]
[296.2469,296.6978]
[297.3424,298.1733]
[299.1811,300.3544]
[301.6800,303.1427]
[304.7260,306.4120]
[308.1815,310.0146]
[311.8905,313.7878]
[859.3877,325.3229,17.6740]
[877.0617,876.9616]
[876.6623,876.1674]
[875.4823,874.6148]
[873.5748,872.3741]
[871.0262,869.5465]
[867.9517,866.2598]
[864.4901,862.6625]
[860.7979,858.9172]
[857.0419,855.1932]
[853.3920,851.6587]
[850.0131,848.4736]
[847.0578,845.7817]
[844.6597,843.7047]
[842.9273,842.3364]
[841.9387,841.7388]
[841.7388,841.9387]
[842.3364,842.9273]
[843.7047,844.6597]
[845.7817,847.0578]
[848.4736,850.0131]
[851.6587,853.3920]
[855.1932,857.0419]
[858.9172,860.7979]
[862.6625,864.4901]
[866.2598,867.9517]
[869.5465,871.0262]
[872.3741,873.5748]
[874.6148,875.4823]
[876.1674,876.6623]
[876.9616,877.0617]
[325.3229,327.2016]
[329.0589,330.8739]
[332.6260,334.2954]
[335.8631,337.3114]
[338.6239,339.7856]
[340.7835,341.6062]
[342.2444,342.6909]
[342.9406,342.9907]
[342.8406,342.4920]
[341.9489,341.2174]
[340.3058,339.2244]
[337.9856,336.6033]
[335.0931,333.4723]
[331.7591,329.9730]
[328.1342,326.2636]
[324.3823,322.5116]
[320.6729,318.8868]
[317.1736,315.5527]
[314.0426,312.6603]
[311.4214,310.3401]
[309.4285,308.6970]
[308.1539,307.8053]
[307.6552,307.7053]
[307.9550,308.4015]
[309.0397,309.8624]
[310.8603,312.0220]
[313.3345,314.7827]
[316.3505,318.0198]
[319.7719,321.5870]
[323.4443,325.3229]
[448.5551,475.6666,19.5746]
[468.1297,468.0188]
[467.6873,467.1391]
[466.3804,465.4196]
[464.2678,462.9380]
[461.4452,459.8063]
[458.0399,456.1661]
[454.2061,452.1820]
[450.1168,448.0340]
[445.9570,443.9095]
[441.9146,439.9950]
[438.1723,436.4673]
[434.8992,433.4859]
[432.2433,431.1855]
[430.3245,429.6701]
[429.2297,429.0082]
[429.0082,429.2297]
[429.6701,430.3245]
[431.1855,432.2433]
[433.4859,434.8992]
[436.4673,438.1723]
[439.9950,441.9146]
[443.9095,445.9570]
[448.0340,450.1168]
[452.1820,454.2061]
[456.1661,458.0399]
[459.8063,461.4452]
[462.9380,464.2678]
[465.4196,466.3804]
[467.1391,467.6873]
[468.0188,468.1297]
[475.6666,477.7472]
[479.8043,481.8145]
[483.7550,485.6039]
[487.3402,488.9442]
[490.3978,491.6845]
[492.7897,493.7009]
[494.4077,494.9022]
[495.1788,495.2342]
[495.0680,494.6819]
[494.0804,493.2702]
[492.2606,491.0630]
[489.6909,488.1599]
[486.4874,484.6923]
[482.7949,480.8167]
[478.7802,476.7084]
[474.6248,472.5530]
[470.5164,468.5383]
[466.6409,464.8457]
[463.1732,461.6422]
[460.2701,459.0725]
[458.0629,457.2527]
[456.6512,456.2652]
[456.0989,456.1544]
[456.4309,456.9254]
[457.6323,458.5434]
[459.6486,460.9353]
[462.3889,463.9929]
[465.7292,467.5781]
[469.5186,471.5288]
[473.5859,475.6666]
[446.6341,635.6012,18.2353]
[464.8694,464.7661]
[464.4574,463.9467]
[463.2398,462.3448]
[461.2718,460.0329]
[458.6423,457.1155]
[455.4701,453.7244]
[451.8985,450.0129]
[448.0891,446.1487]
[444.2138,442.3064]
[440.4480,438.6597]
[436.9618,435.3734]
[433.9126,432.5960]
[431.4384,430.4530]
[429.6510,429.0413]
[428.6310,428.4247]
[428.4247,428.6310]
[429.0413,429.6510]
[430.4530,431.4384]
[432.5960,433.9126]
[435.3734,436.9618]
[438.6597,440.4480]
[442.3064,444.2138]
[446.1487,448.0891]
[450.0129,451.8985]
[453.7244,455.4701]
